"","WORD","FREQ","FREQ_1","total_word","prob","ln_prob"
"1425","negocio","1",2,19190,0.000104220948410631,-9.1689974084418
"1426","newells","1",2,19190,0.000104220948410631,-9.1689974084418
"1427","nexomagico","1",2,19190,0.000104220948410631,-9.1689974084418
"1428","neymar","1",2,19190,0.000104220948410631,-9.1689974084418
"1429","nino","1",2,19190,0.000104220948410631,-9.1689974084418
"1430","nivel","1",2,19190,0.000104220948410631,-9.1689974084418
"1431","nombres","1",2,19190,0.000104220948410631,-9.1689974084418
"1432","nosotromos","1",2,19190,0.000104220948410631,-9.1689974084418
"1433","noticiaslgbt","1",2,19190,0.000104220948410631,-9.1689974084418
"1434","noucamp","1",2,19190,0.000104220948410631,-9.1689974084418
"1435","novato","1",2,19190,0.000104220948410631,-9.1689974084418
"1436","nuevamente","1",2,19190,0.000104220948410631,-9.1689974084418
"1437","observatorio","1",2,19190,0.000104220948410631,-9.1689974084418
"1438","obtener","1",2,19190,0.000104220948410631,-9.1689974084418
"1439","obtuvo","1",2,19190,0.000104220948410631,-9.1689974084418
"1440","ocurrio","1",2,19190,0.000104220948410631,-9.1689974084418
"1441","officialmculkin","1",2,19190,0.000104220948410631,-9.1689974084418
"1442","officiate","1",2,19190,0.000104220948410631,-9.1689974084418
"1443","ofrecidopor","1",2,19190,0.000104220948410631,-9.1689974084418
"1444","ohio","1",2,19190,0.000104220948410631,-9.1689974084418
"1445","ohl","1",2,19190,0.000104220948410631,-9.1689974084418
"1446","ojguatemala","1",2,19190,0.000104220948410631,-9.1689974084418
"1447","olga","1",2,19190,0.000104220948410631,-9.1689974084418
"1448","olimpiada","1",2,19190,0.000104220948410631,-9.1689974084418
"1449","oliveros","1",2,19190,0.000104220948410631,-9.1689974084418
"1450","onces","1",2,19190,0.000104220948410631,-9.1689974084418
"1451","oportunidades","1",2,19190,0.000104220948410631,-9.1689974084418
"1452","orden","1",2,19190,0.000104220948410631,-9.1689974084418
"1453","organico","1",2,19190,0.000104220948410631,-9.1689974084418
"1454","orion","1",2,19190,0.000104220948410631,-9.1689974084418
"1455","osados","1",2,19190,0.000104220948410631,-9.1689974084418
"1456","oversharing","1",2,19190,0.000104220948410631,-9.1689974084418
"1457","p","5",6,19190,0.000312662845231892,-8.07038511977369
"1458","pablo","1",2,19190,0.000104220948410631,-9.1689974084418
"1459","pablomarquezf","1",2,19190,0.000104220948410631,-9.1689974084418
"1460","pacificrimmovie","1",2,19190,0.000104220948410631,-9.1689974084418
"1461","padre","1",2,19190,0.000104220948410631,-9.1689974084418
"1462","padron","1",2,19190,0.000104220948410631,-9.1689974084418
"1463","pago","1",2,19190,0.000104220948410631,-9.1689974084418
"1464","paint","1",2,19190,0.000104220948410631,-9.1689974084418
"1465","paisajes","1",2,19190,0.000104220948410631,-9.1689974084418
"1466","palmarito","1",2,19190,0.000104220948410631,-9.1689974084418
"1467","pan","1",2,19190,0.000104220948410631,-9.1689974084418
"1468","panama","2",3,19190,0.000156331422615946,-8.76353230033364
"1469","panamericanos","1",2,19190,0.000104220948410631,-9.1689974084418
"1470","panista","1",2,19190,0.000104220948410631,-9.1689974084418
"1471","panorama","1",2,19190,0.000104220948410631,-9.1689974084418
"1472","paola","1",2,19190,0.000104220948410631,-9.1689974084418
"1473","paolo","1",2,19190,0.000104220948410631,-9.1689974084418
"1474","paparazzi","1",2,19190,0.000104220948410631,-9.1689974084418
"1475","partimos","1",2,19190,0.000104220948410631,-9.1689974084418
"1476","pasa","1",2,19190,0.000104220948410631,-9.1689974084418
"1477","paso","1",2,19190,0.000104220948410631,-9.1689974084418
"1478","pateo","1",2,19190,0.000104220948410631,-9.1689974084418
"1479","patriciamounier","1",2,19190,0.000104220948410631,-9.1689974084418
"1480","pave","1",2,19190,0.000104220948410631,-9.1689974084418
"1481","pc","1",2,19190,0.000104220948410631,-9.1689974084418
"1482","pegasus","1",2,19190,0.000104220948410631,-9.1689974084418
"1483","pelea","1",2,19190,0.000104220948410631,-9.1689974084418
"1484","peliculas","1",2,19190,0.000104220948410631,-9.1689974084418
"1485","pelo","1",2,19190,0.000104220948410631,-9.1689974084418
"1486","pelota","1",2,19190,0.000104220948410631,-9.1689974084418
"1487","pelotas","1",2,19190,0.000104220948410631,-9.1689974084418
"1488","pemex","1",2,19190,0.000104220948410631,-9.1689974084418
"1489","penalti","1",2,19190,0.000104220948410631,-9.1689974084418
"1490","pequenos","1",2,19190,0.000104220948410631,-9.1689974084418
